premise	hypothesis	label	case
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	"` ` It 's wonder my uncle felt as if trouble were coming on him in such a place as this , """	contradiction	b: cue-removed
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	` It 's wonder my uncle felt as if trouble were coming on him in such a place as this	contradiction	b: cue-removed
"I 'll have a row of electric lamps up here inside of six months , and you wo not know it again , with a thousand candle-power Swan and Edison right here in front of the hall door . """	you wo know it again	contradiction	a: within scope.
"I 'll have a row of electric lamps up here inside of six months , and you wo not know it again , with a thousand candle-power Swan and Edison right here in front of the hall door . """	"I 'll have a row of electric lamps up here inside of six months , and you wo know it again , with a thousand candle power Swan and Edison right here in front of the hall door . """	contradiction	b: cue-removed
"I 'll have a row of electric lamps up here inside of six months , and you wo not know it again , with a thousand candle-power Swan and Edison right here in front of the hall door . """	you wo know it again , with a thousand candle power Swan and Edison right here in front of the hall door	contradiction	b: cue-removed
""" You do not mind my driving straight home , Sir Henry ? "" said Dr. Mortimer ."	You do mind my driving straight home	contradiction	a: within scope.
"Good-bye , and never hesitate night or day to send for me if I can be of service . """	I can be of service	contradiction	a: within scope.
"I fear that we shall never again be easy in our minds at Baskerville Hall . """	we shall again be easy in our minds at Baskerville Hall	contradiction	a: within scope.
"I fear that we shall never again be easy in our minds at Baskerville Hall . """	"I fear that we shall again be easy in our minds at Baskerville Hall . """	contradiction	b: cue-removed
""" I have no doubt , sir , that we shall succeed in establishing ourselves in some business ."	I have doubt that we shall succeed in establishing ourselves in some business	contradiction	a: within scope.
""" I have no doubt , sir , that we shall succeed in establishing ourselves in some business ."	we shall succeed in establishing ourselves in some business	contradiction	a: within scope.
""" I have no doubt , sir , that we shall succeed in establishing ourselves in some business ."	` ` I have doubt , sir , that we shall succeed in establishing ourselves in some business .	contradiction	b: cue-removed
""" My word , it is not a very cheerful place , "" said Sir Henry ."	it is a very cheerful place	contradiction	a: within scope.
""" My word , it is not a very cheerful place , "" said Sir Henry ."	` My word , it is a very cheerful place	contradiction	b: cue-removed
""" My word , it is not a very cheerful place , "" said Sir Henry ."	My word , it is a very cheerful place	contradiction	b: cue-removed
I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	I do wonder that my uncle got a little jumpy if he lived all alone in such a house as this	contradiction	a: within scope.
I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	my uncle got a little jumpy if he lived all alone in such a house as this	contradiction	a: within scope.
I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	he lived all alone in such a house as this	contradiction	a: within scope.
I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	I do wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	contradiction	b: cue-removed
And yet it was not quite the last .	it was quite the last	contradiction	a: within scope.
And yet it was not quite the last .	And yet it was quite the last .	contradiction	b: cue-removed
I found myself weary and yet wakeful , tossing restlessly from side to side , seeking for the sleep which would not come .	I found myself weary and yet wakeful , tossing restlessly from side to side , seeking for the sleep which would come .	contradiction	b: cue-removed
