	premise	hypothesis	labels	preds	label	case
1861	" Why , there 's no good my telling you things , for you seem to know as much as I do already , " said he .	you seem to know as much as I do already	1	1	entailment	c: a S clause
1862	" Why , there 's no good my telling you things , for you seem to know as much as I do already , " said he .	I do already	1	1	entailment	c: a S clause
1866	He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	he was a detective	1	1	entailment	c: a S clause
1869	He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	he wanted all day and ask no questions	1	1	entailment	c: a S clause
1873	" Well , I could not be sure of that , but I dare say my fare knew all about it .	I dare say my fare knew all about it	1	1	entailment	c: a S clause
1874	" Well , I could not be sure of that , but I dare say my fare knew all about it .	my fare knew all about it	1	1	entailment	c: a S clause
1890	But I 'm not easy in my mind about it . "	But I ' m not easy in my mind about it . "	1	1	entailment	c: a S clause
1894	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	` ` I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing	1	1	entailment	c: a S clause
1896	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	` I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing	1	1	entailment	c: a S clause
1898	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	I wish you simply to report facts in the fullest possible manner to me	1	1	entailment	c: a S clause
1899	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	you simply to report facts in the fullest possible manner to me	1	1	entailment	c: a S clause
1900	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	you can leave me to do the theorizing	1	1	entailment	c: a S clause
1901	" I will not bias your mind by suggesting theories or suspicions , Watson , " said he ; " I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . "	me to do the theorizing	1	1	entailment	c: a S clause
1918	" I can swear to one thing , and that is that we have not been shadowed during the last two days .	` I can swear to one thing	1	1	entailment	c: a S clause
1920	" I can swear to one thing , and that is that we have not been shadowed during the last two days .	I can swear to one thing	1	1	entailment	c: a S clause
1925	We have never gone out without keeping a sharp watch , and no one could have escaped our notice . "	no one could have escaped our notice	1	1	entailment	c: a S clause
1928	We have never gone out without keeping a sharp watch , and no one could have escaped our notice . "	We have never gone out without keeping a sharp watch	1	1	entailment	c: a S clause
1936	" I 've been over a good part of the world since I left it , Dr. Watson , " said he ; " but I have never seen a place to compare with it . "	` I ' ve been over a good part of the world since I left it , Dr. Watson	1	1	entailment	c: a S clause
